frame.time,ip.src,ip.dst,eth.src,eth.dst,tcp.port,udp.port,_ws.col.Info,data.text
"Nov 17, 2024 15:23:36.835643000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=8873 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.835643000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [PSH, ACK] Seq=10333 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.835643000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=11793 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.835643000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [PSH, ACK] Seq=13253 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.835764000 IST","172.20.10.4","172.20.10.2","c0:35:32:26:48:bb","3c:95:09:f2:ef:17","51480,4444",,"51480 → 4444 [ACK] Seq=369 Ack=14713 Win=2053 Len=0",
"Nov 17, 2024 15:23:36.952853000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=14713 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.952853000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=16173 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.952853000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=17633 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.952853000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=19093 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.952853000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=20553 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.952853000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=22013 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.952981000 IST","172.20.10.4","172.20.10.2","c0:35:32:26:48:bb","3c:95:09:f2:ef:17","51480,4444",,"51480 → 4444 [ACK] Seq=369 Ack=23473 Win=2053 Len=0",
"Nov 17, 2024 15:23:36.953775000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [PSH, ACK] Seq=23473 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.955323000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=24933 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.955323000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=26393 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.955323000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=27853 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.955323000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=29313 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.955323000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [PSH, ACK] Seq=30773 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.955414000 IST","172.20.10.4","172.20.10.2","c0:35:32:26:48:bb","3c:95:09:f2:ef:17","51480,4444",,"51480 → 4444 [ACK] Seq=369 Ack=32233 Win=2053 Len=0",
"Nov 17, 2024 15:23:36.956823000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=32233 Ack=369 Win=14182 Len=1460",
"Nov 17, 2024 15:23:36.956823000 IST","172.20.10.2","172.20.10.4","3c:95:09:f2:ef:17","c0:35:32:26:48:bb","4444,51480",,"4444 → 51480 [ACK] Seq=33693 Ack=369 Win=14182 Len=1460",
